year,title,title_normalized,ranking_women,ranking_men,gender_score
2016,contratiempo,contratiempo,589,561,0.05611222444889785
2004,the sea inside,theseainside,428,507,-0.158316633266533
2006,apocalypto,apocalypto,364,373,-0.018036072144288595
1959,the 400 blows,the400blows,637,374,0.5270541082164328
2017,get out,getout,344,314,0.060120240480961984
1988,akira,akira,882,267,1.2324649298597197
1964,fistful of dollars,fistfulofdollars,950,278,1.346693386773547
2009,the blind side,theblindside,198,488,-0.5811623246492985
2008,taken,taken,257,315,-0.11623246492985972
2008,the curious case of benjamin button,thecuriouscaseofbenjaminbutton,211,320,-0.218436873747495
2007,the diving bell and the butterfly,thedivingbellandthebutterfly,432,397,0.0701402805611222
2011,drive,drive,361,207,0.30861723446893796
2003,"spring, summer, fall, winter… and spring",springsummerfallwinterandspring,572,416,0.3126252505010019
1987,the untouchables,theuntouchables,604,300,0.6092184368737474
1944,arsenic and old lace,arsenicandoldlace,464,617,-0.3066132264529057
1996,sling blade,slingblade,715,464,0.5030060120240482
2008,the boy in the striped pajamas,theboyinthestripedpajamas,207,601,-0.7895791583166334
2002,talk to her,talktoher,394,430,-0.07214428857715427
1979,manhattan,manhattan,508,359,0.2985971943887775
2013,short term 12,shortterm12,474,529,-0.11022044088176353
2015,straight outta compton,straightouttacompton,513,459,0.10821643286573135
2010,despicable me,despicableme,145,543,-0.7975951903807614
2000,almost famous,almostfamous,320,322,-0.004008016032064132
1982,pink floyd: the wall,pinkfloydthewall,656,510,0.29258517034068143
2006,children of men,childrenofmen,355,263,0.18436873747494997
2014,ex machina,exmachina,362,272,0.18036072144288573
1997,boogie nights,boogienights,660,213,0.8957915831663328
2013,queen,queen,1005,484,1.0440881763527052
1973,papillon,papillon,831,354,0.9559118236472947
2010,elite squad: the enemy within,elitesquadtheenemywithin,1116,352,1.5310621242484967
2014,the theory of everything,thetheoryofeverything,173,591,-0.8376753507014029
1940,the philadelphia story,thephiladelphiastory,393,766,-0.74749498997996
1940,the grapes of wrath,thegrapesofwrath,728,403,0.6513026052104208
1971,harold and maude,haroldandmaude,436,685,-0.498997995991984
2016,captain fantastic,captainfantastic,363,505,-0.28456913827655306
1993,what’s eating gilbert grape,whatseatinggilbertgrape,202,574,-0.7454909819639277
2003,memories of murder,memoriesofmurder,916,330,1.1743486973947896
2009,avatar,avatar,228,296,-0.13627254509018039
2002,infernal affairs,infernalaffairs,875,292,1.1683366733466933
1994,three colors: red,threecolorsred,644,415,0.4589178356713427
1976,all the president’s men,allthepresidentsmen,755,420,0.6713426853707415
2016,the handmaiden,thehandmaiden,595,549,0.09218436873747504
1955,the night of the hunter,thenightofthehunter,737,471,0.5330661322645289
1995,underground,underground,751,541,0.42084168336673344
1990,the godfather: part iii,thegodfatherpartiii,440,358,0.1643286573146292
1984,"paris, texas",paristexas,736,455,0.56312625250501
2010,the fighter,thefighter,452,283,0.33867735470941884
1966,who’s afraid of virginia woolf?,whosafraidofvirginiawoolf,537,565,-0.05611222444889785
2014,the fault in our stars,thefaultinourstars,187,513,-0.6533066132264529
2005,brokeback mountain,brokebackmountain,162,611,-0.8997995991983967
2007,chak de! india,chakdeindia,1278,317,1.9258517034068137
2006,lucky number slevin,luckynumberslevin,416,363,0.1062124248496995
1991,jfk,jfk,847,324,1.0480961923847696
1998,the legend of 1900,thelegendof1900,608,607,0.002004008016031955
2017,the greatest showman,thegreatestshowman,272,972,-1.402805611222445
2000,"o brother, where art thou?",obrotherwhereartthou,401,387,0.028056112224448926
2010,the social network,thesocialnetwork,414,201,0.42685370741482975
1997,gattaca,gattaca,356,390,-0.06813627254509014
2012,argo,argo,243,409,-0.33266533066132264
1993,groundhog day,groundhogday,457,210,0.4949899799599199
1962,the manchurian candidate,themanchuriancandidate,849,506,0.6873747494989979
1984,this is spinal tap,thisisspinaltap,762,348,0.8296593186372746
2013,frozen,frozen,130,692,-1.12625250501002
1990,misery,misery,402,466,-0.12825651302605212
2007,the man from earth,themanfromearth,764,290,0.9498997995991985
1968,planet of the apes,planetoftheapes,789,294,0.9919839679358717
2000,cast away,castaway,314,328,-0.028056112224448926
1998,"black cat, white cat",blackcatwhitecat,676,605,0.14228456913827636
1971,willy wonka & the chocolate factory,willywonkathechocolatefactory,333,496,-0.32665330661322645
1985,ran,ran,1207,234,1.9498997995991982
2008,changeling,changeling,296,405,-0.218436873747495
2006,rang de basanti,rangdebasanti,1218,236,1.967935871743487
1989,glory,glory,768,427,0.683366733466934
1989,back to the future part ii,backtothefuturepartii,374,338,0.07214428857715427
2004,the bourne supremacy,thebournesupremacy,413,333,0.16032064128256518
2006,letters from iwo jima,lettersfromiwojima,791,364,0.8557114228456915
1952,high noon,highnoon,890,407,0.9679358717434868
1997,the fifth element,thefifthelement,247,546,-0.5991983967935872
2017,wonder woman,wonderwoman,196,706,-1.0220440881763526
1995,ghost in the shell,ghostintheshell,917,361,1.1142284569138277
1961,yojimbo,yojimbo,1281,235,2.096192384769539
2015,bahubali: the beginning,bahubalithebeginning,1491,393,2.2004008016032066
2007,zodiac,zodiac,435,275,0.32064128256513025
1990,awakenings,awakenings,467,559,-0.18436873747494986
1993,three colors: blue,threecolorsblue,552,603,-0.10220440881763526
1950,harvey,harvey,645,680,-0.0701402805611222
2014,fury,fury,449,341,0.21643286573146292
1993,philadelphia,philadelphia,277,644,-0.7354709418837676
1998,the celebration,thecelebration,785,404,0.7635270541082164
1946,the big sleep,thebigsleep,750,489,0.5230460921843688
1987,wings of desire,wingsofdesire,622,638,-0.03206412825651306
2016,hunt for the wilderpeople,huntforthewilderpeople,605,701,-0.19238476953907813
1994,chungking express,chungkingexpress,712,600,0.22444889779559118
2012,kahaani,kahaani,1212,478,1.4709418837675352
1958,touch of evil,touchofevil,1008,356,1.3066132264529058
2004,finding neverland,findingneverland,240,570,-0.6613226452905812
2004,the machinist,themachinist,330,438,-0.21643286573146292
1987,empire of the sun,empireofthesun,530,668,-0.2765531062124247
2012,wreck-it ralph,wreckitralph,281,458,-0.35470941883767537
1968,night of the living dead,nightofthelivingdead,837,385,0.9058116232464929
1993,carlito’s way,carlitosway,876,326,1.1022044088176353
1996,the bandit,thebandit,1181,362,1.6412825651302607
1997,the game,thegame,441,367,0.14829659318637278
1946,the best years of our lives,thebestyearsofourlives,772,604,0.3366733466933869
2004,man on fire,manonfire,406,444,-0.0761523046092184
2014,the lego movie,thelegomovie,397,380,0.034068136272545124
